name|split
S000000_P0000_T00|train
S000000_P0004_T00|train
S000000_P0008_T00|train
S000001_P0000_T00|train
S000001_P0004_T00|train
S000001_P0008_T00|train
S000002_P0000_T00|train
S000002_P0004_T00|train
S000002_P0008_T00|train
S000003_P0000_T00|train
S000003_P0004_T00|train
S000003_P0008_T00|train
S000004_P0000_T00|train
S000004_P0004_T00|train
S000004_P0008_T00|train
S000005_P0000_T00|train
S000005_P0004_T00|train
S000005_P0008_T00|train
S000006_P0000_T00|train
S000006_P0004_T00|train
S000006_P0008_T00|train
S000007_P0000_T00|train
S000007_P0004_T00|train
S000007_P0008_T00|train
S000008_P0000_T00|train
S000008_P0004_T00|train
S000009_P0000_T00|train
S000009_P0008_T00|train
S000010_P0000_T00|train
S000010_P0004_T00|train
S000010_P0008_T00|train
S000011_P0000_T00|train
S000011_P0004_T00|train
S000011_P0008_T00|train
S000012_P0000_T00|train
S000012_P0004_T00|train
S000012_P0008_T00|train
S000013_P0000_T00|train
S000013_P0004_T00|train
S000013_P0008_T00|train
S000014_P0000_T00|train
S000014_P0004_T00|train
S000014_P0008_T00|train
S000015_P0000_T00|train
S000015_P0004_T00|train
S000015_P0008_T00|train
S000016_P0000_T00|train
S000016_P0004_T00|train
S000016_P0008_T00|train
S000017_P0000_T00|train
S000017_P0008_T00|train
S000018_P0000_T00|train
S000018_P0004_T00|train
S000018_P0008_T00|train
S000019_P0000_T00|train
S000019_P0004_T00|train
S000019_P0008_T00|train
S000021_P0000_T00|train
S000021_P0004_T00|train
S000021_P0008_T00|train
S000022_P0000_T00|train
S000022_P0004_T00|train
S000022_P0008_T00|train
S000023_P0000_T00|train
S000023_P0004_T00|train
S000023_P0008_T00|train
S000024_P0000_T00|train
S000024_P0004_T00|train
S000024_P0008_T00|train
S000025_P0000_T00|train
S000025_P0004_T00|train
S000025_P0008_T00|train
S000026_P0000_T00|train
S000026_P0004_T00|train
S000026_P0008_T00|train
S000027_P0000_T00|train
S000027_P0004_T00|train
S000027_P0008_T00|train
S000028_P0000_T00|train
S000028_P0004_T00|train
S000028_P0008_T00|train
S000029_P0000_T00|train
S000029_P0004_T00|train
S000029_P0008_T00|train
S000030_P0000_T00|train
S000030_P0004_T00|train
S000030_P0008_T00|train
S000031_P0000_T00|train
S000031_P0004_T00|train
S000031_P0008_T00|train
S000032_P0000_T00|train
S000032_P0004_T00|train
S000032_P0008_T00|train
S000033_P0000_T00|train
S000033_P0004_T00|train
S000033_P0008_T00|train
S000034_P0000_T00|train
S000034_P0004_T00|train
S000034_P0008_T00|train
S000035_P0000_T00|train
S000035_P0004_T00|train
S000035_P0008_T00|train
